,Medicine Name,Use,Side Effects,Dosage
417,Norco 5-325,Norco 5/325 (hydrocodone acetaminophen and bitartrate) is an opioid analgesic and antitussive (cough suppressant) combined with a fever reducer and pain reliever and used to treat moderate to fairly severe pain. Norco 5/325 is available as a generic.,"['lightheadedness, ', 'nausea, ', 'vomiting, ', 'constipation, ', 'upset stomach, ', 'dizziness or drowsiness, ']",The usual adult dosage of Norco 5/325 is one tablet every four to six hours as needed for pain. The total daily dosage should not exceed 6 tablets.
418,Zydone,Zydone (hydrocodone bitartrate and acetaminophen) is a combination of a narcotic pain reliever and a less potent pain reliever that increases the effects of hydrocodone used to relieve moderate to severe pain.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'breathing with long pauses,', 'blue colored lips,', 'difficulty to wake up,']","The dosage of Zydone is adjusted according to severity of pain and response of the patient.
"
419,Vicodin ES,Vicodin ES (hydrocodone bitartrate and acetaminophen) is a combination of a narcotic pain reliever and a non-salicylate analgesic (pain reliever) used to relieve moderate to severe pain. Vicodin ES is available in generic form.,"['nausea, ', 'vomiting, ', 'upset stomach, ', 'constipation, ', 'headache, ', 'mood changes, ']",The usual adult dosage of Vicodin ES is one tablet every four to six hours as needed for pain. The total daily dosage of Vicodin ES should not exceed 5 tablets.
420,Lortab Elixir,Lortab elixir (hydrocodone and acetaminophen) is a combination of an opioid analgesic and a regular analgesic and antipyretic (fever reducer) used to treat moderate to severe pain.,"['dizziness,', 'anxiety,', 'drowsiness,', 'constipation,', 'nausea,', 'vomiting,']",The usual adult dosage of Lortab elixir is one tablespoonful every 4 to 6 hours as needed for pain. The total daily dosage for adults should not exceed 6 tablespoonfuls.
421,Zolvit,"Zolvit (hydrocodone bitartrate and acetaminophen) is a combination of an opioid analgesic and antitussive and a non-opiate, non-salicylate analgesic and antipyretic indicated for the relief of moderate to moderately severe pain. Zolvit is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'slow breathing with long pauses,', 'blue colored lips,', 'hard to wake up,']","Zolvit comes in liquid form containing hydrocodone bitartrate 10 mg strength and acetaminophen 300 mg strength per 15 ml, with 7% alcohol; it is available in 16 fluid oz. bottles (473.17 ml). Initial dose is based on weight (see Zolvit Side Effects Drug Center chart). Dosage may be adjusted according to severity of the pain and response of the patient; however, tolerance to hydrocodone can develop with continued use and that the incidence of untoward the effects are dose related."
422,Zamicet,,"[' abdominal pain', ' constipation', ' difficulty urinating', ' dizziness', ' drowsiness', ' fear']",
423,Zyfrel,"Zyfrel (hydrocodone bitartrate and acetaminophen CII oral solution) is a combination of an opioid analgesic and antitussive and non-opiate, non-salicylate analgesic indicated for the relief of moderate to moderately severe pain.","['abdominal pain', 'dizziness', 'drowsiness', 'lightheadedness', 'nausea', 'shortness of breath']",The usual adult dosage of Zyfrel is one tablespoonful every 4 to 6 hours as needed for pain. Dosages of Zyfrel for children are based on the child's body weight.
424,Lorcet,"Lorcet (hydrocodone bitartrate and acetaminophen) is a combination of an opioid analgesic (pain reliever)/antitussive (anticough), and a non-salicylate analgesic and anti-fever drug indicated for the relief of moderate to severe pain.","['nausea, ', 'vomiting, ', 'upset stomach, ', 'constipation, ', 'lightheadedness, ', 'dizziness, ']",Dosage of Lorcet should be adjusted according to the severity of the pain and the response of the patient. Tolerance to hydrocodone can develop with continued use and that the incidence of untoward effects is dose related. The usual adult dosage of Lorcet is one tablet every four to six hours as needed for pain. The total daily dosage of Lorcet should not exceed 6 tablets.
425,Lortab 2.5,Lortab 2.5 (hydrocodone bitartrate and acetaminophen) is a combination pain reliever containing an opiate (narcotic) pain reliever and a non-narcotic pain reliever used to relieve moderate to severe pain.,"['drowsiness,', 'nausea,', 'vomiting,', 'upset stomach,', 'constipation, ', 'unclear thinking, ']",The usual adult dosage of Lortab 2.5 is one or two tablets every four to six hours as needed for pain.
426,Lortab 5,Lortab 5/500 (hydrocodone bitartrate and acetaminophen) is a combination of an opiate (narcotic) pain reliever and a non-narcotic pain reliever used to relieve moderate to severe pain.,"['drowsiness, ', 'nausea, ', 'vomiting, ', 'upset stomach, ', 'constipation, ', 'unclear thinking, ']",The usual adult dosage of Lortab 5/500 is one or two tablets every four to six hours as needed for pain. The total daily dosage for adults should not exceed 8 tablets.
427,Lortab 7.5,Lortab 7.5/500 (hydrocodone bitartrate and acetaminophen) is a combination pain reliever containing an opiate (narcotic) pain reliever and a non-narcotic pain reliever used to relieve moderate to severe pain.,"['drowsiness,', 'anxiety, ', 'dizziness, ', 'nausea, ', 'vomiting, ', 'upset stomach, ']",The usual adult dosage of Lortab 7.5 is one or two tablets every four to six hours as needed for pain.
428,Lortab 10,"Lortab 10/500 (hydrocodone bitartrate and acetaminophen) is a combination pain reliever containing an opiate (narcotic) pain reliever, hydrocodone and the 
non-narcotic pain reliever acetaminophen, used to relieve moderate to severe 
pain.","['drowsiness, ', 'anxiety, ', 'dizziness, ', 'nausea, ', 'vomiting, ', 'upset stomach, ']",Lortab 10/500 is available as a tablet for oral use. The usual adult dosage of Lortab 10/500 is one tablet every four to six hours as needed for pain.
429,Vicodin HP,Vicodin HP (hydrocodone bitrate and acetaminophen tablets) is a combination of a narcotic pain reliever and an analgesic pain reliever used to relieve moderate to severe pain. Vicodin HP is available in generic form.,"['nausea, vomiting, constipation, upset stomach, lightheadedness, dizziness, drowsiness, anxiety, headache, mood changes, blurred vision, ringing in your ears, or dry mouth.\n\nDosage for Vicodin HS\nThe usual adult dosage of Vicodin HP is one tablet (hydrocodone bitartrate and acetaminophen, 10 mg/660 mg) every four to six hours as needed for pain. The total daily dosage should not exceed 6 tablets.\nWhat Drugs, Substances, or Supplements Interact with Vicodin HS?\nVicodin HP may interact with antidepressants, MAO inhibitors, atropine, benztropine, dimenhydrinate, glycopyrrolate, mepenzolate, methscopolamine, scopolamine, bladder or urinary medications, bronchodilators, or irritable bowel medications. Tell your doctor all medications you are taking.\nVicodin HS During Pregnancy or Breastfeeding\nDuring pregnancy, Vicodin HP should be used only when prescribed. Using it near the expected delivery date is not recommended because of the potential for harm to the fetus. Babies born to mothers who have used this medication may have withdrawal symptoms such as irritability, abnormal/persistent crying, vomiting, or diarrhea. If you notice any of these symptoms in your newborn, tell the doctor. This medication passes into breast milk and may rarely have undesirable effects on a nursing infant. Tell the doctor if your baby develops unusual sleepiness, difficulty feeding, or trouble breathing. Consult your doctor before breastfeeding. Vicodin HP contains hydrocodone, which can be addicting. Withdrawal reactions (e.g., restlessness, watering eyes, runny nose, nausea, sweating, muscle aches) may occur if you suddenly stop using this medication.\nAdditional Information\nOur Vicodin HP (hydrocodone bitrate and acetaminophen tablets) Side Effects Drug Center provides a comprehensive view of available drug information on the potential side effects when taking this medication.\n']","The usual adult dosage of Vicodin HP is one tablet (hydrocodone bitartrate and acetaminophen, 10 mg/660 mg) every four to six hours as needed for pain. The total daily dosage should not exceed 6 tablets."
430,Xodol,Xodol (hydrocodone bitartrate and acetaminophen tablet) is a combination of an opioid pain reliever and an analgesic/fever reducer used to manage pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.,"['lightheadedness,', 'dizziness,', 'drowsiness,', 'nausea,', 'vomiting,', 'sedation,']","The usual adult dosage of Xodol is one or two 5 mg tablets, one 7.5 mg tablet, or one 10 mg tablet, every four to six hours as needed for pain."
431,Vituz,,"['\xa0sedation', 'sleepiness', 'confusion', 'fatigue', 'anxiety', 'fear']",
432,Hycotuss,Hycotuss (hydrocodone bitartrate and guaifenesin) Expectorant Syrup is a combination of an opiod antitussive and an expectorant used for the symptomatic relief of irritating nonproductive cough associated with upper and lower respiratory tract congestion. Hycotuss may be available in generic form.,"['low blood pressure,', 'heart palpitations,', 'slowed breathing,', 'drowsiness,', 'dizziness,', 'lightheadedness,']","The usual adult dose of Hycotuss is one teaspoonful (5 mL) after meals and at bedtime, not less than 4 hours apart (not to exceed 6 teaspoonfuls in a 24 hour period)."
433,Flowtuss,Flowtuss (hydrocodone bitartrate and guaifenesin) oral solution is a combination an opioid antitussive and an expectorant indicated for the symptomatic relief of cough and to loosen mucus associated with the common cold.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'itching,', 'interrupted breathing during sleep,', 'mental or mood changes,']","The recommended dose of Flowtuss for adults and adolescents 18 years of age and older is 10 mL every 4 to 6 hours, not to exceed 6 doses (60 mL) in 24 hours."
434,Obredon,Obredon (hydrocodone bitartrate and guaifenesin) Oral Solution is a combination opioid antitussive and expectorant used for symptomatic relief of cough and to loosen mucus associated with the common cold.,"[' headache', ' dizziness', ' sedation', ' drowsiness', ' lightheadedness', ' nausea']","The recommended adult dose of Obredon is 10 mL every 4 to 6 hours, not to exceed 6 doses (60 mL) in 24 hours. Obredon may interact with opioids, antihistamines, antipsychotics, anti-anxiety agents, other CNS depressants, MAOIs, and anticholinergics. Tell your doctor all medications and supplements you use."
435,Xtrelus,"Xtrelus (hydrocodone bitartrate and guaifenesin) is a combination of an opioid agonist and an expectorant, indicated for the symptomatic relief of cough and to loosen mucus associated with the common cold in patients 18 years of age and older.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'rash,', 'itching,', 'red, swollen, blistered, or peeling skin with or without fever,']","The dose of Xtrelus for adults 18 years of age and older is one tablet every 4 to 6 hours, not to exceed 6 tablets in 24 hours."
436,Hycodan,Hycodan (hydrocodone bitartrate and homatropine methylbromide) is a combination of a narcotic cough medicine and a medicine that works against the narcotic to prevent an overdose used to treat cough.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'slow breathing with long pauses,', 'blue colored lips,', 'difficulty to wake up,']",The dose of Hycodan for adults and children 12 years and older is one tablet or 5 mL (1 tsp) of the oral solution every 4 to 6 hours as needed; do not exceed six tablets or 30 mL (6 tsp) in 24 hours. Consult your doctor for pediatric dosing.
437,Tussigon,Tussigon Tablets (hydrocodone bitartrate and homatropine methylbromide) is a combination of a narcotic cough medicine and a medicine that works against the narcotic to prevent an overdose used to treat cough.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'interrupted breathing during sleep,', 'stomach pain,', 'mental or mood changes,']",The adult dose of Tussigon is one (1) tablet every 4 to 6 hours as needed; do not exceed six (6) tablets in 24 hours. The dose of Tussigon for children 6 to 12 years of age is one-half (1/2) tablet every 4 to 6 hours as needed; do not exceed three (3) tablets in 24 hours.
438,Reprexain,Reprexain (hydrocodone bitartrate and ibuprofen tablets) is a combination of an opioid analgesic and a nonsteroidal anti-inflammatory drug (NSAID) indicated for the short-term (generally less than 10 days) management of acute pain. Reprexain is not indicated for the treatment of such conditions as osteoarthritis or rheumatoid arthritis. Reprexain is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fast or pounding heartbeat,', 'difficult or painful swallowing,', 'interrupted breathing during sleep (sleep apnea),']","For the short-term (generally less than 10 days) management of acute pain, the recommended dose of Reprexain is one tablet every 4 to 6 hours, as necessary. Dosage should not exceed 5 tablets in a 24-hour period."
439,Rezira,Rezira (hydrocodone bitartrate and pseudoephedrine hydrochloride) is a combination of an opioid antitussive and a sympathomimetic amine indicated for relief of cough and nasal congestion associated with common cold.,"['nausea', 'vomiting', 'constipation', 'low blood pressure', 'dizziness', 'drowsiness']","Rezira is for oral use only. Rezira should be dosed at 5 mL every 4 to 6 hours as needed, not to exceed 4 doses (20 mL) in 24 hours. Measure Rezira with an accurate milliliter measuring device. Do not use a household teaspoon to measure the dose."
440,Zutripro,"Zutripro (hydrocodone bitartrate, chlorpheniramine maleate, and pseudoephedrine hydrochloride) is a combination of a semisynthetic centrally-acting opioid antitussive (anti-cough), an antihistamine, and an indirect sympathomimetic amine indicated for relief of cough and nasal congestion associated with the common cold and for relief of symptoms including nasal congestion associated with upper respiratory allergies in adults 18 years of age and older.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'slow breathing with long pauses,', 'blue colored lips,', 'difficult to wake up,']","Zutripro is supplied as a clear, colorless to light yellow, grape-flavored solution containing strengths of 5 mg hydrocodone bitartrate, 4 mg chlorpheniramine maleate, and 60 mg pseudoephedrine hydrochloride in each 5 mL dose. Zutripro is dosed in 5 mL of solution every 4 to 6 hours as needed, not to exceed 4 doses (20 mL) in 24 hours. Patients should be informed that a household teaspoon is not an accurate measuring device and could lead to over dosage, especially when half a teaspoon is measured. Zutripro contains hydrocodone bitartrate, which can cause dose-related respiratory depression. Hydrocodone can produce drug dependence of the morphine type and therefore, has the potential for being abused. Psychic dependence, physical dependence, and tolerance may develop upon repeated administration of Zutripro."
441,Hycofenix,"Hycofenix (hydrocodone bitartrate, pseudoephedrine hydrochloride, and guaifenesin) oral solution is a combination an opioid antitussive, a nasal decongestant, and an expectorant indicated for the symptomatic relief of cough, nasal congestion, and to loosen mucus associated with the common cold.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'slowed breathing with long pauses,', 'blue colored lips,', 'noisy breathing,']","The dose of Hycofenix for adults and adolescents 18 years of age and older is 10 mL every 4 to 6 hours, not to exceed 4 doses (40 mL) in 24 hours."
442,Cortenema,"Cortenema (hydrocortisone) rectal is a steroid used to treat hemorrhoids and itching or swelling of the rectal area caused by hemorrhoids or other inflammatory conditions of the rectum or anus. Cortenema is also used together with other medications to treat ulcerative colitis, proctitis, and other inflammatory conditions of the lower intestines and rectal area. Cortenema is available in generic form.","['pain or burning in the rectum, ', 'dizziness, ', 'menstrual period changes, ', 'trouble sleeping, ', 'unusual weight gain,', 'increased sweating, ']","The usual course of therapy is one Cortenema nightly for 21 days, or until the patient comes into remission. Before using Cortenema rectal, tell your doctor if you use insulin or oral diabetes medications."
443,Hydrocortisone,"Hydrocortisone (hydrocortisone) Cream 2.5% is a topical (for the skin) steroid used to treat inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, or psoriasis.","['Hydrocortisone is available in generic form.', 'skin redness/burning/itching/peeling,', 'thinning of your skin,', 'blistering skin,', 'stretch marks,', 'nausea,']",Dose and administration: Apply hydrocortisone cream to the affected area as a thin film 2 to 4 times daily depending on the severity of the condition.
444,Carmol HC,"Carmol HC (hydrocortisone acetate) Cream USP, 1% is indicated for the relief of the inflammatory and pruritic (itching) manifestations of corticosteroid-responsive dermatoses. Carmol HC is available in the generic form named hydrocortisone acetate. Side effects of Carmol HC are infrequent and occur more with occlusive dressings.","['skin reactions where the medication is applied (burning, irritation, itching, redness, dryness)', 'skin thinning', 'blistering skin, or ', 'stretch marks. \n\t', 'hives,', 'difficulty breathing,']","Each gram of the cream contains 10 mg Hydrocortisone Acetate, in a water-washable vanishing cream base in 1 and 3 oz tubes. Carmol HC is generally applied to the affected area as a thin film two to four times daily, depending on the severity of the condition. Occlusive dressings may be used for the management of psoriasis or recalcitrant conditions. If an infection develops, the use of occlusive dressings should be discontinued and appropriate antimicrobial therapy instituted."
445,Pramosone,Pramosone (hydrocortisone acetate and pramoxine hydrochloride cream) is a topical cream that is a combination of a corticosteroid and a topical anesthetic used to relieve inflammatory and itching manifestations of corticosteroid-responsive skin conditions. ,"['burning,\xa0', 'itching,\xa0', 'skin irritation,\xa0', 'skin dryness,\xa0', 'infected hair follicles,\xa0', 'excessive hair growth on the body,\xa0']","Topical corticosteroids such as Pramosone are generally applied to the affected area as a thin film three to four times daily depending on the severity of the condition. Occlusive dressings may be used for the management of psoriasis or recalcitrant conditions. If an infection develops, the use of occlusive dressings should be discontinued and appropriate antimicrobial therapy instituted. "
446,Analpram HC,"Analpram HC (hydrocortisone acetate 2.5% pramoxine HCl 1%) Cream 2.5% is a topical corticosteroid and anti-itching combination drug used to treat pain, itching, or inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, psoriasis, insect bites, and minor burns or scrapes. Analpram HC is also used on the rectal area to treat itching and inflammation caused by hemorrhoids, anal fissures, or other rectal irritation. Analpram HC is available in generic form.","['skin reactions (burning, irritation, dryness, redness, peeling), ', 'acne, ', 'changes in the color of treated skin, ', 'thinning of your skin, ', 'blistering skin, or ', 'stretch marks.']","Analpram HC is supplied in four preparations: 1 oz tube, 4 gm tubes and 1 oz and 4gm Advanced Kits. Analpram HC is generally applied to the affected area as a thin film three to four times daily depending on the severity of the condition."
447,MiCort HC,MiCort HC (hydrocortisone acetate cream) 2.5% is a topical corticosteroid indicated for the relief of the inflammatory and itching manifestations of corticosteroid-responsive skin conditions.,"['burning,', 'itching,', 'irritation, ', 'dryness, ', 'infected hair follicles, ', 'abnormal hair growth, ']",MiCort HC is applied to the affected area as a thin film two to four times daily depending on the severity of the condition.
448,Anusol Rectal,"Anusol-HC (hydrocortisone acetate) Rectal Suppositories are a corticosteroid indicated for use in inflamed hemorrhoids, post-irradiation (factitial) proctitis, as an adjunct in the treatment of chronic ulcerative colitis, cryptitis, other inflammatory conditions of the anorectum, and anal itching (pruritis ani). Anusol-HC is available in generic form.","['burning, ', 'itching, ', 'irritation, ', 'dryness, ', 'infected hair follicles, ', 'loss of skin pigmentation, ']","The dose of Anusol-HC is one suppository in the rectum morning and night for two weeks, in nonspecific proctitis. In more severe cases, one suppository three times daily; or two suppositories twice daily."
449,Vytone,"Vytone Cream with Aloe (hydrocortisone acetate 1.9%, iodoquinol 1%) is a combination of an anti-inflammatory/anti-itch agent and an antifungal/antibacterial agent indicated for contact or atopic dermatitis; impetiginized eczema, nummular eczema, endogenous chronic infectious dermatitis, stasis dermatitis, pyoderma, nuchal eczema and chronic eczematoid otitis externa, acne urticata, localized or disseminated neurodermatitis, lichen simplex chronicus, anogenital pruritus (vulvae, scroti, ani), folliculitis, bacterial dermatoses, mycotic dermatoses such as tinea (capitis, cruris, corporis, pedis), monliasis, and intertrigo.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'skin irritation or burning,', 'extreme hair growth,', 'skin thinning and discoloration,']",Apply a dose of Vytone Cream with Aloe to affected area(s) three to four times per day or as directed by a physician.
450,Proctofoam HC,"Proctofoam HC (hydrocortisone acetate and pramoxine hydrochloride) Aerosol, Foam is a combination of a steroid and an anesthetic used to treat pain, itching, or inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, psoriasis, insect bites, and minor burns or scrapes. Proctofoam HC is also used on the rectal area to treat itching and inflammation caused by hemorrhoids, anal fissures, or other rectal irritation.","['application site reactions (redness, burning, itching, dryness, or peeling),', 'acne,', 'changes in the color of treated skin,', 'thinning of your skin,', 'blistering skin, or', 'stretch marks']","Apply a dose of Proctofoam HC to the affected area 3 to 4 times daily. Use the applicator supplied for anal administration. For perianal use, transfer a small quantity to a tissue and rub in gently."
451,Locoid Lipocream,"Locoid Lipocream (hydrocortisone butyrate) Cream, 0.1% is a topical (for the skin) steroid used to treat inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, or psoriasis. Locoid Lipocream is available in generic form.","['stinging,', '\n', 'burning,', '\n', 'itching,', '\n']","Apply a thin film dose of Locoid Lipocream to the affected skin areas two or three times daily, depending on the severity of the condition. Rub in gently."
452,Locoid Lotion,Locoid (hydrocortisone butyrate) Lotion is a corticosteroid used for the topical treatment of mild to moderate atopic dermatitis.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'worsening of your skin condition,', 'redness, warmth, swelling, oozing, or severe irritation of any treated skin,', 'increased thirst,']","Apply a thin layer dose of Locoid Lotion to the affected skin areas two times daily, and rub in gently."
453,Locoid,"Locoid (hydrocortisone butyrate 0.1%) Cream, Ointment, & Solution is a corticosteroid used to reduce the swelling, itching, and redness caused by a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). Locoid topical solution is used to treat severe dandruff (seborrheic dermatitis). Locoid is available in generic form.","['stinging, ', 'burning, ', 'itching, ', 'irritation, ', 'dryness, ', 'redness, or ']",The recommended dose of Locoid cream or ointment is to apply to the affected area as a thin film two or three times daily depending on the severity of the condition.
454,Anusol Hc,"Anusol-HC (hydrocortisone acetate rectal suppositories, 25 mg) is a corticosteroid indicated for use in inflamed hemorrhoids, post-irradiation (factitial) proctitis, as an adjunct in the treatment of chronic ulcerative colitis, cryptitis, other inflammatory conditions of the anorectum, and anal itching (pruritis ani). Anusol-HC is available in generic form.","['Application site reactions (rectal pain, redness, burning, itching, irritation,\tdryness)\n\t', 'Acne\n', 'Changes in menstrual periods\n', 'Increased sweating\n', 'Increased facial or body hair growth\n', 'Inflammation of hair follicles (folliculitis)\n']","The usual dosage of Anusol-HC is one suppository in the rectum morning and night for two weeks, in nonspecific proctitis. In more severe cases, one suppository three times daily; or two suppositories twice daily."
455,Cortaid,"Cortaid (hydrocortisone topical) is a topical (for the skin) steroid used to treat inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, or psoriasis. Cortaid is available in generic form.","['application site reactions (stinging, burning, irritation, dryness, itching, peeling, cracking, or redness), \n\t', 'acne, ', 'unusual hair growth, ', '""hair bumps"" (folliculitis), ', 'skin thinning, ', 'changes in skin color, ']",Topical corticosteroids such as Cortaid are generally applied to the affected area as a thin film from two to four times daily depending on the severity of the condition.
456,Hydrocortisone,"Hydrocortisone (hydrocortisone) Cream 2.5% is a topical (for the skin) steroid used to treat inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, or psoriasis.","['Hydrocortisone is available in generic form.', 'skin redness/burning/itching/peeling,', 'thinning of your skin,', 'blistering skin,', 'stretch marks,', 'nausea,']",Dose and administration: Apply hydrocortisone cream to the affected area as a thin film 2 to 4 times daily depending on the severity of the condition.
457,Alkindi Sprinkle,Alkindi Sprinkle (hydrocortisone) is a corticosteroid indicated as replacement therapy in pediatric patients with adrenocortical insufficiency.,"['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'worsening of your skin condition,\xa0', 'redness, warmth, swelling, oozing, or severe irritation of any treated skin,\xa0', 'increased thirst,\xa0']",The recommended starting replacement dosage of Alkindi Sprinkle is 8 to 10 mg/m2 daily. Higher doses may be needed based on patient's age and symptoms of the disease. Use of lower starting doses may be sufficient in patients with residual but decreased endogenous cortisol production.
458,Pandel,"Pandel (hydrocortisone probutate cream) is a corticosteroid cream used to treat skin inflammations such as allergic reactions, eczema, or psoriasis. Pandel is available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'unusual or extreme tiredness,', 'weight loss,', 'headache,']","Apply Pandel to the affected area as a thin film 2 to 4 times daily, or as directed by your doctor."
459,Colocort,"Colocort (hydrocortisone suspension) is a corticosteroid used as adjunctive therapy in the treatment of ulcerative colitis, especially distal forms, including ulcerative proctitis, ulcerative proctosigmoiditis, and left-sided ulcerative colitis. It has also proven useful in some cases involving the transverse and ascending colons.","['local pain or burning,', 'rectal bleeding,', 'sodium retention,', 'fluid retention,', 'congestive heart failure in susceptible patients,', 'potassium loss,']","The usual course of therapy is one Colocort nightly for 21 days, or until the patient comes into remission both clinically and proctologically. Clinical symptoms usually subside promptly within 3 to 5 days. Difficult cases may require as long as 2 or 3 months of Colocort treatment."
460,Solu Cortef,"Solu-Cortef (hydrocortisone sodium succinate) is a corticosteroid hormone (glucocorticoid) used to treat various conditions such as severe allergic reactions, arthritis, blood diseases, breathing problems, certain cancers, eye diseases, intestinal disorders, and skin diseases. Some strengths of Solu-Cortef are available in generic form.","['stomach upset, ', 'headache, ', 'dizziness, ', 'menstrual period changes, ', 'trouble sleeping, ', 'increased appetite, ']","The initial dose of Solu-Cortef is 100 mg to 500 mg, depending on the specific disease being treated. This dose may be repeated at intervals of 2, 4 or 6 hours depending on patient response and condition."
461,Cortef,"Cortef (hydrocortisone) Tablets is a steroid used to treat many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders. Cortef is available in generic form.","['blurred vision,', 'tunnel vision,', 'eye pain,', 'seeing halos around lights,', 'muscle weakness,', 'loss of muscle mass,']",The initial dosage of Cortef Tablets varies from 20 mg to 240 mg per day depending on the disease being treated.
462,Westcort,"Westcort (hydrocortisone valerate) Cream, 0.2% is a corticosteroid used to treat inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, or psoriasis. The brand name Westcort is discontinued, but generic versions may be available.","['stinging, ', 'burning, ', 'itching, ', 'irritation, ', 'dryness, or ', 'redness at the application site when this medication is first applied to the skin. \n\t']",Westcort Cream should be applied to the affected area as a thin film two or three times daily depending on the severity of the condition.
463,Westcort Ointment,"Westcort (hydrocortisone valerate) Ointment, 0.2% is a topical steroid used to treat inflammation of the skin caused by a number of conditions such as allergic reactions, eczema, or psoriasis. The brand name Westcort Ointment is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'worsening of your skin condition,', 'redness, warmth, swelling, oozing, or severe irritation of any treated skin,', 'increased thirst,']",Westcort Ointment should be applied to the affected area as a thin film two or three times daily depending on the severity of the condition.
464,Cortisporin Cream,"Cortisporin Cream (neomycin and polymyxin B sulfates and hydrocortisone acetate cream) is a topical antibacterial cream used to treat skin lesions (such as psoriasis, or dermatitis) with secondary infection.","['burning', 'itching', 'irritation', 'dryness', 'infection of hair follicles', 'increase in body hair']","Apply a small quantity dose of Cortisporin Cream 2 to 4 times daily, as required. The cream should, if conditions permit, be gently rubbed into the affected areas."
465,Diucardin,,"[' low blood sodium or potassium levels', ' an imbalance of sodium and potassium in the blood', ' high blood sugar', ' low blood pressure', ' sun sensitive skin', ' loss of appetite']",
466,Eskata,Eskata (hydrogen peroxide) is indicated for the treatment of seborrheic keratoses that are raised.,"['redness or blistering of the skin,', 'peeling, \xa0', 'burning of the skin,', 'itching,', 'pain,', 'rash,']","Eskata is administered by a healthcare provider. Apply a dose of Eskata 4 times, approximately 1 minute apart, to the targeted lesion(s) during a single in-office treatment session."
467,Dilaudid,"Dilaudid (hydromorphone hydrochloride) and Dilaudid Injection (also termed Dilaudid HP) are the tablet, liquid and IV forms of an opioid analgesic used for control of moderate to severe pain. Dilaudid is available in generic form.","['flushing (warmth,', 'redness, or tingling of skin),', 'itching,', 'sweating,', 'nausea,', 'vomiting,']","Dilaudid is available in tablets in 8 mg strength, in liquid form in 5 mg strength per 5 ml of liquid, and Dilaudid Injection is available as sterile solution containing 1, 2, or 4 mg hydromorphone hydrochloride with 0.2% sodium citrate and 0.2% citric acid solution. Dosage of tablets usually begins at 2-4 mg every 4-6 hours; liquid begins at 2.5 mg (2.5 ml) every 3-6 hours and may be modified according to patient response and doctor's prescription. Dilaudid injection starting dose is 1-2 mg subcutaneously or intramuscularly every 4 to 6 hours as necessary for pain; it can also be given IV slowly over 2-3 min but respiration needs to be monitored."
468,Exalgo,,"['nausea, ', 'vomiting, ', 'constipation, ', 'diarrhea, ', 'stomach pain, ', 'lightheadedness, ']",
469,Palladone,"Palladone (hydromorphone HCl) extended-release is a a mu-opioid used to manage pain in opioid-tolerant patients severe enough to require daily, around-the-clock, long-term opioid treatment and for which alternative treatment options are inadequate.","[' constipation', ' nausea', ' vomiting', ' nervousness', ' dizziness', ' drowsiness']","Dose of Palladone is individualized for each patient, taking into account the patient's prior analgesic treatment experience and risk factors for addiction, abuse, and misuse."
470,Dilaudid-HP,Dilaudid-HP (hydromorphone hydrochloride) Injection is a narcotic pain reliever used to treat moderate to severe pain. Dilaudid-HP is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'breathing that slows or stops,', 'blue colored lips,', 'difficult to wake,']","Dosage of Dilaudid-HP is individualized and determined based on the patient's age, general condition, medical status, type and severity of pain, risk factors for abuse or addiction, and other factors."
